Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
,,,,,,,,,,,0.450,0.70,0.00,0.00,0.450,0.70,0.00,0.43,0.450,0.70,0.01,-2.50,0.450,0.71,0.00,0.00,0.225,0.71,-0.01,5.56,0.450,0.63,-0.41,-2.71,0.450,0.71,0.06,-0.32,0.450,0.71,-0.01,-0.61,0.450,0.70,0.06,-1.03,0.450,0.66,-0.02,14.06
,,,,,,,,,,,0.460,0.70,0.00,0.00,0.460,0.70,0.00,0.52,0.460,0.70,0.01,-0.08,0.460,0.71,0.00,-0.09,0.230,0.71,0.03,-1.72,0.460,0.62,-0.98,-12.65,0.460,0.71,0.00,-7.08,0.460,0.71,-0.01,-0.10,0.460,0.71,0.01,-3.02,0.460,0.66,0.15,9.36
,,,,,,,,,,,0.470,0.70,0.00,0.00,0.470,0.70,0.01,0.18,0.470,0.70,0.01,-2.50,0.470,0.71,0.00,0.52,0.235,0.71,-0.02,-3.84,0.470,0.61,-0.67,28.78,0.470,0.71,-0.09,-2.01,0.470,0.71,-0.01,5.57,0.470,0.71,0.00,-0.43,0.470,0.67,0.17,-5.94
,,,,,,,,,,,0.480,0.70,0.00,0.00,0.480,0.70,0.00,-1.12,0.480,0.70,-0.04,-0.87,0.480,0.71,0.01,0.18,0.240,0.71,-0.01,5.56,0.480,0.61,-0.40,20.72,0.480,0.71,-0.05,5.35,0.480,0.70,0.10,-3.48,0.480,0.71,0.00,-0.52,0.480,0.67,0.03,-7.61
,,,,,,,,,,,0.490,0.70,0.00,0.00,0.490,0.70,-0.01,0.43,0.490,0.70,-0.01,1.98,0.490,0.71,0.00,-1.12,0.245,0.71,0.03,-1.72,0.490,0.60,-0.25,26.90,0.490,0.71,0.02,2.07,0.490,0.71,-0.08,-36.79,0.490,0.71,-0.01,-0.18,0.490,0.67,0.02,-0.51
,,,,,,,,,,,0.500,0.70,0.00,0.00,0.500,0.70,0.01,0.61,0.500,0.70,0.00,0.34,0.500,0.71,-0.01,0.43,0.250,0.71,-0.02,-3.84,0.500,0.61,0.14,6.47,0.500,0.71,0.00,-0.53,0.500,0.70,-0.63,-51.30,0.500,0.70,0.00,1.12,0.500,0.67,0.02,2.78E-13
,,,,,,,,,,,0.510,0.70,0.00,0.00,0.510,0.70,0.00,-0.61,0.510,0.70,0.00,0.68,0.510,0.71,0.01,0.69,0.255,0.71,-0.01,4.85,0.510,0.61,-0.12,-6.54,0.510,0.71,0.01,2.85,0.510,0.69,-1.11,-42.14,0.510,0.71,0.01,-0.08,0.510,0.67,0.02,0.00
,,,,,,,,,,,0.520,0.70,0.00,0.00,0.520,0.70,0.00,0.52,0.520,0.70,0.01,2.25,0.520,0.71,0.00,-1.12,0.260,0.71,0.02,1.41,0.520,0.60,0.01,21.77,0.520,0.71,0.05,2.00,0.520,0.68,-1.48,-15.23,0.520,0.71,0.00,-2.06,0.520,0.67,0.02,-0.08
,,,,,,,,,,,0.530,0.70,0.00,0.00,0.530,0.70,0.01,0.09,0.530,0.70,0.04,-0.77,0.530,0.71,-0.01,0.34,0.265,0.71,0.01,-4.15,0.530,0.61,0.31,29.37,0.530,0.71,0.05,1.31,0.530,0.66,-1.41,17.06,0.530,0.70,-0.03,-3.11,0.530,0.67,0.02,1.85
,,,,,,,,,,,0.540,0.70,0.00,0.00,0.540,0.70,0.00,-0.52,0.540,0.70,0.00,-1.82,0.540,0.71,0.01,1.12,0.270,0.71,-0.02,-3.13,0.540,0.61,0.59,26.43,0.540,0.71,0.08,-11.96,0.540,0.65,-1.14,18.67,0.540,0.70,-0.07,-0.53,0.540,0.67,0.05,-6.63
